Sahip,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%
A.CELALETTİN ALKAN,1454.0,168.0,207.0,144.0,154.0,134.0,12.0,14.0,10.0,11.0,9.0
HAYRULLAH DOĞAN,1043.0,167.0,141.0,120.0,97.0,108.0,16.0,14.0,12.0,9.0,10.0
FİKRET KANMAN,1405.0,165.0,136.0,129.0,177.0,153.0,12.0,10.0,9.0,13.0,11.0
MUHARREM CAN,1147.0,164.0,159.0,129.0,137.0,105.0,14.0,14.0,11.0,12.0,9.0
S.SIRRI TURHAN,1218.0,162.0,130.0,131.0,132.0,117.0,13.0,11.0,11.0,11.0,10.0
OĞUZ YALÇIN,1254.0,159.0,126.0,146.0,131.0,129.0,13.0,10.0,12.0,10.0,10.0
SALİH YILDIZER,1215.0,157.0,151.0,133.0,115.0,147.0,13.0,12.0,11.0,9.0,12.0
MURAT AKÇA,1432.0,157.0,181.0,154.0,173.0,169.0,11.0,13.0,11.0,12.0,12.0
SEYDİ AKYILDIRIM,880.0,152.0,144.0,100.0,108.0,82.0,17.0,16.0,11.0,12.0,9.0
AYDOĞAN SAN,727.0,151.0,87.0,89.0,75.0,72.0,21.0,12.0,12.0,10.0,10.0
HAŞİM TINAS,1848.0,150.0,153.0,189.0,201.0,203.0,8.0,8.0,10.0,11.0,11.0
M.CİHAT GÜRÜZ,1702.0,148.0,132.0,152.0,143.0,147.0,9.0,8.0,9.0,8.0,9.0
ATİLLA SERİNER,1021.0,147.0,125.0,139.0,120.0,111.0,14.0,12.0,14.0,12.0,11.0
MEHMET DİLBER,1376.0,147.0,140.0,149.0,146.0,126.0,11.0,10.0,11.0,11.0,9.0
MEHMET EMİN DEMİRKAPU,1605.0,147.0,159.0,130.0,156.0,145.0,9.0,10.0,8.0,10.0,9.0
TEVFİK ÇELİKOĞLU,1446.0,145.0,155.0,123.0,149.0,131.0,10.0,11.0,9.0,10.0,9.0
H.HÜSEYİN TEMEL,720.0,144.0,93.0,84.0,86.0,73.0,20.0,13.0,12.0,12.0,10.0
AHMET KILIÇCIOĞLU,1051.0,143.0,107.0,107.0,103.0,105.0,14.0,10.0,10.0,10.0,10.0
EKREM BEŞERLER,1326.0,143.0,137.0,166.0,129.0,139.0,11.0,10.0,13.0,10.0,10.0
M.ZİYA ADALAR,1489.0,143.0,155.0,159.0,135.0,161.0,10.0,10.0,11.0,9.0,11.0
SENEM GÖZEL,1578.0,143.0,159.0,168.0,215.0,204.0,9.0,10.0,11.0,14.0,13.0
MUNİR GÖKÇE,1574.0,143.0,136.0,151.0,115.0,146.0,9.0,9.0,10.0,7.0,9.0
AYŞEGÜL KURTEL,734.0,141.0,110.0,111.0,57.0,78.0,19.0,15.0,15.0,8.0,11.0
MEHMET İ. AKDENİZ,914.0,141.0,129.0,107.0,99.0,84.0,15.0,14.0,12.0,11.0,9.0
H.BASRİ TÜMÖZ,980.0,140.0,123.0,105.0,99.0,91.0,14.0,13.0,11.0,10.0,9.0
NAZMİYE BAYRAM,1174.0,140.0,116.0,137.0,114.0,97.0,12.0,10.0,12.0,10.0,8.0
ERDAL ÖZTÜRK,1267.0,140.0,155.0,143.0,143.0,140.0,11.0,12.0,11.0,11.0,11.0
DAVUT KAYA,1329.0,139.0,155.0,146.0,157.0,131.0,10.0,12.0,11.0,12.0,10.0
MURAT ALTIN,1066.0,138.0,111.0,102.0,105.0,105.0,13.0,10.0,10.0,10.0,10.0
FERDANE ÇELİK,1149.0,138.0,108.0,102.0,104.0,92.0,12.0,9.0,9.0,9.0,8.0
RİFAT YAVUZ,1454.0,137.0,129.0,133.0,145.0,123.0,9.0,9.0,9.0,10.0,8.0
HAKAN ÇELİK,1457.0,136.0,163.0,140.0,132.0,131.0,9.0,11.0,10.0,9.0,9.0
M.YAŞAR ŞENTAY,1039.0,134.0,140.0,118.0,109.0,111.0,13.0,13.0,11.0,10.0,11.0
SEDAT ÖZCAN,1138.0,133.0,124.0,113.0,114.0,111.0,12.0,11.0,10.0,10.0,10.0
MURAT CAVCAV,790.0,132.0,107.0,84.0,89.0,70.0,17.0,14.0,11.0,11.0,9.0
Z.AHSEN KURUM,1028.0,132.0,123.0,95.0,112.0,87.0,13.0,12.0,9.0,11.0,8.0
HASAN ADALI,857.0,131.0,106.0,91.0,89.0,72.0,15.0,12.0,11.0,10.0,8.0
ŞEREF ATLI,1175.0,130.0,136.0,123.0,107.0,123.0,11.0,12.0,10.0,9.0,10.0
HAKAN YÜCETÜRK,1000.0,129.0,122.0,106.0,120.0,73.0,13.0,12.0,11.0,12.0,7.0
MÜTHİŞ ÖLÇER,654.0,128.0,91.0,73.0,57.0,68.0,20.0,14.0,11.0,9.0,10.0
ABDULLAH AVCI,1381.0,127.0,108.0,90.0,113.0,136.0,9.0,8.0,7.0,8.0,10.0
HİKMET ATAMAN,855.0,125.0,107.0,124.0,109.0,94.0,15.0,13.0,15.0,13.0,11.0
VURAL C. ÇAKIM,1135.0,125.0,148.0,137.0,121.0,112.0,11.0,13.0,12.0,11.0,10.0
ZEKİ KARATAŞ,1694.0,125.0,139.0,151.0,161.0,183.0,7.0,8.0,9.0,10.0,11.0
HALİL DURMUŞ,606.0,123.0,89.0,71.0,80.0,56.0,20.0,15.0,12.0,13.0,9.0
CÜNEYT YILDIZHAN,679.0,123.0,107.0,93.0,67.0,65.0,18.0,16.0,14.0,10.0,10.0
HACİ İPEK,981.0,123.0,113.0,116.0,113.0,117.0,13.0,12.0,12.0,12.0,12.0
TAHSİN KÖKMEN,1299.0,123.0,137.0,145.0,122.0,135.0,9.0,11.0,11.0,9.0,10.0
ABDULKADIR ÜÇEŞ,1346.0,122.0,148.0,159.0,176.0,147.0,9.0,11.0,12.0,13.0,11.0
B.BALKAR BALKAROĞLU,770.0,121.0,89.0,77.0,92.0,58.0,16.0,12.0,10.0,12.0,8.0
IŞIL GÜNEŞ,931.0,121.0,125.0,89.0,93.0,98.0,13.0,13.0,10.0,10.0,11.0
ALİ ŞAHİN,1069.0,121.0,128.0,107.0,96.0,101.0,11.0,12.0,10.0,9.0,9.0
GÜRHAN Ş. ÖZBELGE,793.0,120.0,114.0,92.0,71.0,75.0,15.0,14.0,12.0,9.0,9.0
LALE M. ATMAN,784.0,120.0,115.0,91.0,96.0,54.0,15.0,15.0,12.0,12.0,7.0
TALİP ÖZTÜRK,538.0,119.0,70.0,61.0,57.0,44.0,22.0,13.0,11.0,11.0,8.0
DEMİRHAN YILMAZ,1176.0,119.0,144.0,137.0,146.0,109.0,10.0,12.0,12.0,12.0,9.0
M.ALİ YARDIMCI,1201.0,119.0,102.0,108.0,123.0,125.0,10.0,8.0,9.0,10.0,10.0
M.EMİN ALAK,1135.0,119.0,115.0,102.0,103.0,116.0,10.0,10.0,9.0,9.0,10.0
METİN OĞUZ,1221.0,119.0,135.0,135.0,130.0,139.0,10.0,11.0,11.0,11.0,11.0
SADIK ELİYEŞİL,650.0,118.0,107.0,88.0,68.0,72.0,18.0,16.0,14.0,10.0,11.0
SEMA ULAŞ,1012.0,118.0,136.0,123.0,96.0,96.0,12.0,13.0,12.0,9.0,9.0
MUSTAFA KASTAR,1034.0,118.0,78.0,88.0,80.0,84.0,11.0,8.0,9.0,8.0,8.0
MİTHAT KATI,1349.0,118.0,126.0,128.0,143.0,140.0,9.0,9.0,9.0,11.0,10.0
A.LEVENT DİLMAÇ,1519.0,118.0,136.0,142.0,162.0,160.0,8.0,9.0,9.0,11.0,11.0
BAHADIR GÖDEK,923.0,117.0,100.0,96.0,79.0,72.0,13.0,11.0,10.0,9.0,8.0
SAHDUN KAYA,1557.0,117.0,146.0,150.0,132.0,144.0,8.0,9.0,10.0,8.0,9.0
YAVUZ GÜLERCE,581.0,116.0,96.0,67.0,58.0,68.0,20.0,17.0,12.0,10.0,12.0
N.CEHDİ ADVAN,1034.0,116.0,103.0,125.0,111.0,97.0,11.0,10.0,12.0,11.0,9.0
MUZAFFER BUĞDAYCI,575.0,115.0,87.0,75.0,48.0,56.0,20.0,15.0,13.0,8.0,10.0
HÜSEYİN YILDIZ,567.0,115.0,73.0,67.0,56.0,58.0,20.0,13.0,12.0,10.0,10.0
OSMAN HATTAT,727.0,115.0,96.0,77.0,79.0,63.0,16.0,13.0,11.0,11.0,9.0
MAHMUT BAGUÇ,906.0,115.0,79.0,87.0,89.0,79.0,13.0,9.0,10.0,10.0,9.0
REŞİT TUMBUL,977.0,115.0,102.0,83.0,117.0,84.0,12.0,10.0,8.0,12.0,9.0
ATİLLA ÖZSOY,1153.0,115.0,104.0,114.0,114.0,103.0,10.0,9.0,10.0,10.0,9.0
H.TARIK ERMAN,854.0,114.0,112.0,97.0,84.0,84.0,13.0,13.0,11.0,10.0,10.0
GÖRKEM GEDİKOĞLU,922.0,114.0,93.0,82.0,120.0,96.0,12.0,10.0,9.0,13.0,10.0
ABDULKADİR ELĞAÇ,1384.0,114.0,96.0,133.0,131.0,132.0,8.0,7.0,10.0,9.0,10.0
ABDULLAH ALTIN,742.0,113.0,87.0,88.0,75.0,70.0,15.0,12.0,12.0,10.0,9.0
SEMRA AKSU,836.0,113.0,93.0,91.0,81.0,82.0,14.0,11.0,11.0,10.0,10.0
METİN ÇALDIRAN,959.0,113.0,107.0,100.0,102.0,88.0,12.0,11.0,10.0,11.0,9.0
A.YÜCEL BİROL,1688.0,113.0,158.0,146.0,153.0,190.0,7.0,9.0,9.0,9.0,11.0
A.BESİM BALIK,735.0,112.0,87.0,75.0,78.0,70.0,15.0,12.0,10.0,11.0,10.0
SEFA ÇIKMAZ,925.0,112.0,95.0,72.0,92.0,92.0,12.0,10.0,8.0,10.0,10.0
KOSTANTİNOS MAKRİ,1291.0,112.0,121.0,120.0,133.0,131.0,9.0,9.0,9.0,10.0,10.0
FATİNE ÖZSOY,1358.0,111.0,102.0,119.0,124.0,110.0,8.0,8.0,9.0,9.0,8.0
İSMET ALTIN,903.0,110.0,98.0,78.0,64.0,82.0,12.0,11.0,9.0,7.0,9.0
M.HANEFİ ŞAHİN,950.0,110.0,101.0,93.0,89.0,97.0,12.0,11.0,10.0,9.0,10.0
MAHİR TEKİNALP,1125.0,110.0,112.0,122.0,113.0,112.0,10.0,10.0,11.0,10.0,10.0
AYHAN GİRAY,1104.0,110.0,107.0,97.0,107.0,101.0,10.0,10.0,9.0,10.0,9.0
AHMET ÇELİK,1175.0,110.0,107.0,117.0,96.0,121.0,9.0,9.0,10.0,8.0,10.0
MEHMET KORKMAZ,1606.0,110.0,126.0,147.0,147.0,128.0,7.0,8.0,9.0,9.0,8.0
FATİH ÇİFTÇİ,769.0,109.0,88.0,87.0,60.0,70.0,14.0,11.0,11.0,8.0,9.0
EKREM DİLBER,1055.0,109.0,127.0,114.0,104.0,102.0,10.0,12.0,11.0,10.0,10.0
ADİL TURAN,798.0,108.0,105.0,78.0,103.0,85.0,14.0,13.0,10.0,13.0,11.0
