Aygır,Ülke Adı,Irk Adı,Koşan Tay Adet,Kazanan Yavru Adet,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Kazanç
TOŞUR,TÜRKİYE,Arap,213.0,104.0,3867.0,335.0,330.0,306.0,359.0,357.0,9.0,9.0,8.0,9.0,9.0,"29.283.725,00"
CASTLE RISING,İNGİLTERE,İngiliz,70.0,60.0,2004.0,333.0,275.0,225.0,235.0,190.0,17.0,14.0,11.0,12.0,9.0,"2.998.781,00"
VELOCIRAPTOR,İNGİLTERE,İngiliz,136.0,78.0,3284.0,330.0,387.0,372.0,382.0,340.0,10.0,12.0,11.0,12.0,10.0,"19.648.541,80"
"Daha Fazla Sonuç Göster
                        
 
                        Toplam 3553 sonuçtan 100 tanesi gösteriliyor
                    
Başa Dön


                 
            


                    Yükleniyor...",,,,,,,,,,,,,,,,
MANILA,ABD,İngiliz,206.0,109.0,3992.0,328.0,321.0,302.0,316.0,332.0,8.0,8.0,8.0,8.0,8.0,"13.287.953,10"
BERK.8,TÜRKİYE,Arap,72.0,50.0,3114.0,327.0,335.0,351.0,395.0,423.0,11.0,11.0,11.0,13.0,14.0,",00"
COCK ROBIN,ABD,İngiliz,97.0,70.0,2959.0,325.0,316.0,330.0,297.0,263.0,11.0,11.0,11.0,10.0,9.0,"1.779.671,00"
KARAYEL,TÜRKİYE,İngiliz,68.0,56.0,1764.0,323.0,249.0,232.0,217.0,145.0,18.0,14.0,13.0,12.0,8.0,"89.183,50"
HÜCUM,TÜRKİYE,Arap,44.0,40.0,2540.0,322.0,347.0,369.0,343.0,278.0,13.0,14.0,15.0,14.0,11.0,",00"
UÇANOĞLU,TÜRKİYE,Arap,204.0,108.0,3260.0,316.0,310.0,315.0,337.0,300.0,10.0,10.0,10.0,10.0,9.0,"81.032.798,13"
EASTERN STAR,TÜRKİYE,İngiliz,90.0,68.0,3477.0,314.0,373.0,405.0,426.0,359.0,9.0,11.0,12.0,12.0,10.0,"793.789,50"
ANİBAL,TÜRKİYE,Arap,44.0,39.0,1995.0,313.0,249.0,225.0,215.0,217.0,16.0,12.0,11.0,11.0,11.0,",00"
THREE VALLEYS,ABD,İngiliz,224.0,102.0,3365.0,313.0,302.0,315.0,370.0,374.0,9.0,9.0,9.0,11.0,11.0,"52.445.494,38"
DAI JIN,İNGİLTERE,İngiliz,183.0,97.0,2811.0,312.0,286.0,335.0,314.0,284.0,11.0,10.0,12.0,11.0,10.0,"38.309.722,50"
NOKTABATUR,TÜRKİYE,Arap,123.0,68.0,3207.0,312.0,312.0,276.0,270.0,285.0,10.0,10.0,9.0,8.0,9.0,"10.410.844,00"
MARLIN,ABD,İngiliz,255.0,114.0,3805.0,309.0,322.0,291.0,340.0,342.0,8.0,8.0,8.0,9.0,9.0,"13.774.016,00"
KARA YAĞIZ,TÜRKİYE,Arap,84.0,64.0,2921.0,307.0,334.0,313.0,319.0,297.0,11.0,11.0,11.0,11.0,10.0,"35.193.216,25"
ÇELİKER,TÜRKİYE,Arap,44.0,37.0,2416.0,303.0,302.0,285.0,284.0,244.0,13.0,12.0,12.0,12.0,10.0,"123.864,50"
ŞÖVALYE,TÜRKİYE,Arap,97.0,62.0,3086.0,303.0,314.0,336.0,306.0,319.0,10.0,10.0,11.0,10.0,10.0,"19.713.790,00"
HİSARHAN,TÜRKİYE,Arap,77.0,56.0,2849.0,300.0,290.0,272.0,274.0,289.0,11.0,10.0,10.0,10.0,10.0,"16.076.777,50"
TÜMÖZ BEY,TÜRKİYE,Arap,137.0,86.0,2490.0,294.0,258.0,233.0,210.0,220.0,12.0,10.0,9.0,8.0,9.0,"70.492.910,00"
MAŞALLAH I,TÜRKİYE,İngiliz,50.0,42.0,2237.0,293.0,330.0,315.0,258.0,230.0,13.0,15.0,14.0,12.0,10.0,"27.987,50"
PAPA CLEM,ABD,İngiliz,144.0,86.0,2311.0,293.0,309.0,281.0,274.0,257.0,13.0,13.0,12.0,12.0,11.0,"102.026.075,01"
KAROO,İNGİLTERE,İngiliz,69.0,48.0,2052.0,292.0,294.0,288.0,308.0,297.0,14.0,14.0,14.0,15.0,14.0,",00"
ÜNAL,TÜRKİYE,Arap,41.0,37.0,1935.0,291.0,239.0,236.0,235.0,184.0,15.0,12.0,12.0,12.0,10.0,",00"
TUNCA,TÜRKİYE,Arap,88.0,50.0,2350.0,291.0,235.0,250.0,197.0,175.0,12.0,10.0,11.0,8.0,7.0,"5.570.216,50"
GÜNTAY,TÜRKİYE,Arap,166.0,88.0,2918.0,290.0,305.0,302.0,329.0,271.0,10.0,10.0,10.0,11.0,9.0,"58.870.966,25"
BACHELOR PARTY,İRLANDA,İngiliz,80.0,51.0,2754.0,285.0,275.0,280.0,292.0,285.0,10.0,10.0,10.0,11.0,10.0,"2.461.483,50"
INVINCIBLE SON,İRLANDA,İngiliz,169.0,91.0,2467.0,283.0,280.0,260.0,276.0,271.0,11.0,11.0,11.0,11.0,11.0,"53.234.318,13"
ALAZ,TÜRKİYE,Arap,83.0,56.0,2416.0,282.0,265.0,244.0,215.0,205.0,12.0,11.0,10.0,9.0,8.0,"6.735.941,00"
BUSHRANGER,İRLANDA,İngiliz,175.0,99.0,2437.0,280.0,267.0,259.0,265.0,259.0,11.0,11.0,11.0,11.0,11.0,"58.956.310,00"
JOKER,TÜRKİYE,Arap,147.0,76.0,2403.0,276.0,261.0,220.0,223.0,211.0,11.0,11.0,9.0,9.0,9.0,"41.672.466,25"
AFTER MARKET,ABD,İngiliz,169.0,94.0,2930.0,276.0,336.0,336.0,331.0,286.0,9.0,11.0,11.0,11.0,10.0,"38.176.776,25"
SHINING STEEL,İNGİLTERE,İngiliz,178.0,82.0,3734.0,275.0,302.0,269.0,250.0,299.0,7.0,8.0,7.0,7.0,8.0,"8.939.392,40"
TULYAD,TÜRKİYE,Arap,73.0,43.0,3040.0,271.0,274.0,293.0,296.0,281.0,9.0,9.0,10.0,10.0,9.0,"5.766.969,50"
BEYAZ MARTI,TÜRKİYE,Arap,68.0,50.0,2372.0,270.0,211.0,210.0,226.0,207.0,11.0,9.0,9.0,10.0,9.0,"7.967.415,00"
ATEŞTOPU,TÜRKİYE,Arap,89.0,68.0,2375.0,270.0,289.0,269.0,242.0,239.0,11.0,12.0,11.0,10.0,10.0,"48.362.246,25"
DRUID,POLONYA(A),Arap,102.0,64.0,3250.0,267.0,256.0,255.0,264.0,253.0,8.0,8.0,8.0,8.0,8.0,"10.621.075,00"
SA'D.27,TÜRKİYE,Arap,48.0,35.0,2300.0,265.0,278.0,222.0,227.0,206.0,12.0,12.0,10.0,10.0,9.0,"6.389.982,50"
KANATLI.3,TÜRKİYE,Arap,66.0,50.0,3138.0,265.0,244.0,266.0,290.0,271.0,8.0,8.0,8.0,9.0,9.0,"4.140.875,50"
KAMALPOUR,İNGİLTERE,İngiliz,94.0,56.0,1879.0,264.0,293.0,275.0,300.0,201.0,14.0,16.0,15.0,16.0,11.0,",00"
GENERAL QUARTERS,ABD,İngiliz,157.0,86.0,2080.0,264.0,230.0,229.0,205.0,228.0,13.0,11.0,11.0,10.0,11.0,"76.127.638,75"
UĞURBEY,TÜRKİYE,Arap,46.0,36.0,2113.0,261.0,279.0,248.0,251.0,223.0,12.0,13.0,12.0,12.0,11.0,"286.394,50"
SUN MUSIC,İRLANDA,İngiliz,149.0,76.0,3280.0,261.0,275.0,332.0,333.0,316.0,8.0,8.0,10.0,10.0,10.0,"9.097.414,20"
MY VOLGA BOATMAN,ABD,İngiliz,137.0,75.0,2812.0,260.0,269.0,245.0,242.0,255.0,9.0,10.0,9.0,9.0,9.0,"3.902.029,27"
BEY,TÜRKİYE,Arap,37.0,29.0,1918.0,259.0,197.0,230.0,238.0,198.0,14.0,10.0,12.0,12.0,10.0,",00"
DR FONG,ABD,İngiliz,121.0,62.0,2146.0,259.0,251.0,266.0,245.0,224.0,12.0,12.0,12.0,11.0,10.0,"39.227.365,00"
GAZEL.13,TÜRKİYE,Arap,44.0,35.0,2193.0,257.0,219.0,223.0,201.0,216.0,12.0,10.0,10.0,9.0,10.0,"53.505,25"
RUGGED,İNGİLTERE,İngiliz,43.0,34.0,1178.0,256.0,222.0,185.0,165.0,136.0,22.0,19.0,16.0,14.0,12.0,",00"
GREEN GÖNEN,TÜRKİYE,İngiliz,101.0,65.0,2301.0,256.0,228.0,255.0,236.0,238.0,11.0,10.0,11.0,10.0,10.0,"14.181.443,75"
