Antrenör,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Antrenor Kısaltması
SÜLEYMAN FEHMİ KARAGÖZ,1661.0,209.0,168.0,179.0,163.0,150.0,13.0,10.0,11.0,10.0,9.0,S.F.KARAGÖZ
NAZMİ YILMAZ,2052.0,209.0,192.0,231.0,183.0,204.0,10.0,9.0,11.0,9.0,10.0,N.YILMAZ
ŞAHİN YILDIRIM,1164.0,207.0,176.0,143.0,123.0,108.0,18.0,15.0,12.0,11.0,9.0,Ş.YILDIRIM
MEHMET TAMER,1934.0,207.0,212.0,178.0,227.0,211.0,11.0,11.0,9.0,12.0,11.0,M.TAMER
MEHMET ALİ PAKEL,3933.0,207.0,270.0,319.0,313.0,343.0,5.0,7.0,8.0,8.0,9.0,M.A.PAKEL
ALPER TEPEBAŞI,1083.0,206.0,189.0,138.0,136.0,104.0,19.0,17.0,13.0,13.0,10.0,A.TEPEBAŞI
DOĞAN DURAL,1177.0,206.0,163.0,128.0,128.0,107.0,18.0,14.0,11.0,11.0,9.0,D.DURAL
HAKAN HARMANBAŞI,1869.0,206.0,179.0,184.0,201.0,193.0,11.0,10.0,10.0,11.0,10.0,H.HARMANBAŞI
MEHMET TEKDEMİR,2361.0,206.0,218.0,221.0,266.0,224.0,9.0,9.0,9.0,11.0,9.0,M.TEKDEMİR
YUSUF YILMAZ,2359.0,206.0,196.0,172.0,218.0,205.0,9.0,8.0,7.0,9.0,9.0,Y.YILMAZ
METİN YÜKSEL AKKEYİK,2428.0,206.0,187.0,226.0,202.0,219.0,8.0,8.0,9.0,8.0,9.0,M.Y.AKKEYİK
FETHİ AHMET YEŞİLBUDAK,2222.0,205.0,192.0,197.0,215.0,218.0,9.0,9.0,9.0,10.0,10.0,F.A.YEŞİLBUDAK
MEHMET AKBULUT,1457.0,204.0,189.0,178.0,157.0,144.0,14.0,13.0,12.0,11.0,10.0,M.AKBULUT
MUZAFFER UÇAR,2013.0,204.0,174.0,224.0,201.0,202.0,10.0,9.0,11.0,10.0,10.0,M.UÇAR
HAYRETTİN KAYAŞ,3008.0,201.0,259.0,250.0,271.0,294.0,7.0,9.0,8.0,9.0,10.0,H.KAYAŞ
İBRAHİM HALİL BAYDAN,2229.0,200.0,210.0,221.0,232.0,248.0,9.0,9.0,10.0,10.0,11.0,İ.H.BAYDAN
BURAK AKYOL,2763.0,200.0,220.0,264.0,273.0,277.0,7.0,8.0,10.0,10.0,10.0,B.AKYOL
MEHMET YAVUZ KILINÇ,1752.0,198.0,176.0,196.0,207.0,170.0,11.0,10.0,11.0,12.0,10.0,M.Y.KILINÇ
ALİ GÜMÜŞ,1770.0,197.0,189.0,185.0,179.0,158.0,11.0,11.0,10.0,10.0,9.0,A.GÜMÜŞ
GANİ HALKATAŞ,2393.0,195.0,204.0,204.0,233.0,227.0,8.0,9.0,9.0,10.0,9.0,G.HALKATAŞ
YASİN POLAT,1755.0,194.0,158.0,159.0,167.0,174.0,11.0,9.0,9.0,10.0,10.0,Y.POLAT
ULVİ YOĞURTCU,2205.0,193.0,192.0,189.0,195.0,237.0,9.0,9.0,9.0,9.0,11.0,U.YOĞURTCU
ESMA ÇETİN,1199.0,192.0,156.0,132.0,127.0,111.0,16.0,13.0,11.0,11.0,9.0,E.ÇETİN
UĞUR KARAKOCA,1266.0,192.0,174.0,150.0,124.0,115.0,15.0,14.0,12.0,10.0,9.0,U.KARAKOCA
NESİH DOĞAN,1529.0,192.0,170.0,168.0,155.0,130.0,13.0,11.0,11.0,10.0,9.0,N.DOĞAN
ERGÜN USLU,1651.0,192.0,194.0,172.0,182.0,166.0,12.0,12.0,10.0,11.0,10.0,E.USLU
TAMER TURAN,2184.0,191.0,221.0,229.0,232.0,220.0,9.0,10.0,10.0,11.0,10.0,T.TURAN
VELAT KARAKUŞ,1307.0,189.0,192.0,184.0,185.0,153.0,14.0,15.0,14.0,14.0,12.0,V.KARAKUŞ
YUSUF YILDIZ,1728.0,189.0,216.0,174.0,170.0,169.0,11.0,12.0,10.0,10.0,10.0,Y.YILDIZ
NESİH CAMUZ,1821.0,189.0,181.0,161.0,173.0,158.0,10.0,10.0,9.0,10.0,9.0,N.CAMUZ
ATAKAN ŞIVGIN,1248.0,188.0,149.0,138.0,137.0,128.0,15.0,12.0,11.0,11.0,10.0,A.ŞIVGIN
MEHMET ALİ SUBAY,1748.0,188.0,186.0,171.0,178.0,171.0,11.0,11.0,10.0,10.0,10.0,M.A.SUBAY
MAHMUT YARDIMCI,2143.0,188.0,214.0,226.0,197.0,224.0,9.0,10.0,11.0,9.0,10.0,M.YARDIMCI
HASAN ERGİN,2240.0,188.0,184.0,204.0,208.0,189.0,8.0,8.0,9.0,9.0,8.0,H.ERGİN
ENGİN BEKİROĞULLARI,1572.0,187.0,137.0,141.0,129.0,146.0,12.0,9.0,9.0,8.0,9.0,E.BEKİROĞULLARI
KAZIM MELİKE,1704.0,187.0,169.0,174.0,169.0,173.0,11.0,10.0,10.0,10.0,10.0,K.MELİKE
MESUT BATMAN,2189.0,187.0,192.0,200.0,225.0,205.0,9.0,9.0,9.0,10.0,9.0,M.BATMAN
İBRAHİM ESER,1755.0,186.0,172.0,183.0,180.0,172.0,11.0,10.0,10.0,10.0,10.0,İ.ESER
HİDAYET NUSRET DERRE,1901.0,186.0,189.0,202.0,192.0,193.0,10.0,10.0,11.0,10.0,10.0,H.N.DERRE
TEZCAN TAŞAR,1307.0,184.0,172.0,169.0,163.0,154.0,14.0,13.0,13.0,12.0,12.0,T.TAŞAR
ŞAHİN İPEK,2105.0,184.0,175.0,191.0,182.0,194.0,9.0,8.0,9.0,9.0,9.0,Ş.İPEK
HÜSEYİN ÇALIŞKAN,2200.0,184.0,206.0,217.0,200.0,209.0,8.0,9.0,10.0,9.0,10.0,H.ÇALIŞKAN
MEHMET KARACA,3203.0,183.0,213.0,238.0,250.0,282.0,6.0,7.0,7.0,8.0,9.0,M.KARACA
MÜLAYİM ANAT,1283.0,182.0,175.0,148.0,150.0,133.0,14.0,14.0,12.0,12.0,10.0,M.ANAT
ERDAL AKYAVUZ,2243.0,182.0,211.0,211.0,221.0,172.0,8.0,9.0,9.0,10.0,8.0,E.AKYAVUZ
