Kısrak,Ülke Adı,Irk Adı,Koşan Tay Adet,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Kazanç
SELCAN,ABD,İngiliz,5.0,110.0,9.0,10.0,12.0,12.0,14.0,8.0,9.0,11.0,11.0,13.0,"512.600,00"
KARAN TAY,TÜRKİYE,İngiliz,8.0,112.0,9.0,12.0,8.0,17.0,14.0,8.0,11.0,7.0,15.0,12.0,"490.490,00"
CIMAISE,FRANSA,İngiliz,5.0,111.0,9.0,15.0,6.0,7.0,16.0,8.0,14.0,5.0,6.0,14.0,"315.170,00"
FANY DE CARRERE,FRANSA,Arap,5.0,107.0,9.0,13.0,12.0,15.0,6.0,8.0,12.0,11.0,14.0,6.0,"421.560,00"
WEST GUN,ABD,İngiliz,5.0,111.0,9.0,9.0,13.0,11.0,14.0,8.0,8.0,12.0,10.0,13.0,"277.010,00"
AYBEYAZ,TÜRKİYE,Arap,9.0,115.0,9.0,4.0,5.0,10.0,8.0,8.0,3.0,4.0,9.0,7.0,"211.250,00"
MÜRVETSULTAN,TÜRKİYE,Arap,7.0,115.0,9.0,12.0,14.0,12.0,8.0,8.0,10.0,12.0,10.0,7.0,"417.790,00"
PRINCESS BAJA,ABD,İngiliz,2.0,120.0,9.0,17.0,17.0,10.0,12.0,8.0,14.0,14.0,8.0,10.0,"469.610,00"
ALUŞTALIM,TÜRKİYE,Arap,4.0,117.0,9.0,4.0,8.0,10.0,9.0,8.0,3.0,7.0,9.0,8.0,"420.610,00"
EDESSA PAMUK,TÜRKİYE,Arap,2.0,107.0,9.0,8.0,9.0,8.0,5.0,8.0,7.0,8.0,7.0,5.0,"380.275,00"
FRANCO DESIRE,TÜRKİYE,İngiliz,6.0,120.0,9.0,17.0,9.0,14.0,13.0,8.0,14.0,8.0,12.0,11.0,"616.018,75"
AYMELEK,TÜRKİYE,Arap,8.0,108.0,9.0,5.0,9.0,9.0,13.0,8.0,5.0,8.0,8.0,12.0,"314.600,00"
FRENCH GIRL,TÜRKİYE,İngiliz,3.0,108.0,9.0,13.0,15.0,7.0,10.0,8.0,12.0,14.0,6.0,9.0,"402.140,00"
PİNİKA,TÜRKİYE,İngiliz,4.0,117.0,9.0,9.0,18.0,9.0,19.0,8.0,8.0,15.0,8.0,16.0,"482.510,00"
GÖKYILDIZI,TÜRKİYE,Arap,5.0,112.0,9.0,15.0,11.0,5.0,7.0,8.0,13.0,10.0,4.0,6.0,"389.687,50"
ZEHRA.100,TÜRKİYE,Arap,4.0,111.0,9.0,7.0,9.0,5.0,10.0,8.0,6.0,8.0,5.0,9.0,"4.197,00"
ASALET HANIM,TÜRKİYE,Arap,4.0,111.0,9.0,11.0,8.0,12.0,10.0,8.0,10.0,7.0,11.0,9.0,"514.420,00"
İLİTYA,TÜRKİYE,İngiliz,4.0,111.0,9.0,22.0,6.0,18.0,12.0,8.0,20.0,5.0,16.0,11.0,"1.021.875,00"
INCROYABLE,İNGİLTERE,İngiliz,6.0,113.0,9.0,4.0,6.0,18.0,9.0,8.0,4.0,5.0,16.0,8.0,"316.300,00"
ÖZDEN SULTAN,TÜRKİYE,İngiliz,5.0,110.0,9.0,7.0,12.0,15.0,11.0,8.0,6.0,11.0,14.0,10.0,"634.160,00"
NEVER LOST,TÜRKİYE,İngiliz,7.0,116.0,9.0,5.0,12.0,13.0,15.0,8.0,4.0,10.0,11.0,13.0,"1.603.205,00"
BEREN,TÜRKİYE,Arap,4.0,106.0,9.0,6.0,10.0,9.0,11.0,8.0,6.0,9.0,8.0,10.0,"825.621,25"
AYAZMAYELİ,TÜRKİYE,İngiliz,8.0,111.0,9.0,12.0,9.0,10.0,10.0,8.0,11.0,8.0,9.0,9.0,"358.000,00"
ŞENFİLİZ,TÜRKİYE,Arap,5.0,108.0,9.0,14.0,11.0,10.0,8.0,8.0,13.0,10.0,9.0,7.0,"624.300,00"
GOLDEN DREAM,TÜRKİYE,İngiliz,4.0,108.0,9.0,16.0,11.0,10.0,14.0,8.0,15.0,10.0,9.0,13.0,"454.010,00"
ÖZİLTER,TÜRKİYE,Arap,6.0,118.0,9.0,10.0,9.0,15.0,10.0,8.0,8.0,8.0,13.0,8.0,"677.305,00"
YOUDRIVESMECRAZY,ABD,İngiliz,6.0,117.0,9.0,6.0,8.0,13.0,12.0,8.0,5.0,7.0,11.0,10.0,"503.392,50"
SONJA,TÜRKİYE,İngiliz,7.0,115.0,9.0,15.0,13.0,15.0,9.0,8.0,13.0,11.0,13.0,8.0,"1.277.197,50"
KARA ELMAS,TÜRKİYE,İngiliz,7.0,116.0,9.0,9.0,13.0,13.0,10.0,8.0,8.0,11.0,11.0,9.0,"897.156,25"
LADY TRUVA,TÜRKİYE,İngiliz,5.0,118.0,9.0,16.0,12.0,5.0,16.0,8.0,14.0,10.0,4.0,14.0,"853.845,00"
